"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","Total Usage"
"NAPA","Non-Residential","     642.935559","     623.599275","     625.736941","     665.453551","     659.997026","     675.567332","     680.296010","     673.555809","     666.509350","     663.850929","     649.652493","     642.000915","     630.027520","     629.290102","     646.426033","     620.315130","     594.411670","     569.167967","     574.440186","     563.229801","     559.301911","     541.224467","     589.358139","   14386.348116"
"NAPA","Residential","     386.178414","     371.761675","     392.844965","     365.542934","     358.089641","     368.715603","     359.896851","     361.215807","     363.712067","     374.170386","     373.609098","     374.103130","     375.907805","     381.168132","     378.772699","     377.477756","     386.526257","     370.125911","     363.197139","     354.810444","     340.491959","     325.803771","     349.180530","    8453.302974"
"NAPA","Total","    1029.113973","     995.360950","    1018.581906","    1030.996486","    1018.086667","    1044.282935","    1040.192862","    1034.771616","    1030.221416","    1038.021316","    1023.261591","    1016.104044","    1005.935324","    1010.458234","    1025.198733","     997.792886","     980.937927","     939.293878","     937.637325","     918.040244","     899.793870","     867.028238","     938.538669","   22839.651090"
"NEVADA","Non-Residential","     259.792098","     254.413558","     248.292451","     262.952532","     268.528160","     270.855398","     226.734507","     220.997782","     226.396739","     235.103844","     234.703987","     232.305476","     229.820175","     235.447769","     245.868688","     240.902492","     237.570489","     229.117461","     226.654035","     216.464005","     232.927498","     217.900623","     210.448691","    5464.198458"
"NEVADA","Residential","     437.396740","     493.909332","     480.961310","     446.005889","     445.544035","     470.166235","     432.662221","     405.497354","     407.357304","     423.092581","     426.072924","     426.102500","     424.986940","     424.131971","     421.006502","     413.753090","     411.515207","     397.475401","     398.177743","     378.559416","     379.084510","     363.365657","     378.253239","    9685.078101"
"NEVADA","Total","     697.188838","     748.322890","     729.253761","     708.958422","     714.072195","     741.021633","     659.396729","     626.495136","     633.754043","     658.196425","     660.776911","     658.407976","     654.807115","     659.579740","     666.875190","     654.655581","     649.085696","     626.592861","     624.831778","     595.023422","     612.012007","     581.266280","     588.701930","   15149.276559"
"ORANGE","Non-Residential","   12413.599429","   11853.513341","   11912.892416","   12837.672022","   13140.267160","   13304.220525","   13515.591065","   13817.543909","   13692.811964","   13420.069408","   13303.702545","   13225.445254","   13153.675575","   13754.763192","   14392.746298","   14254.957776","   14470.474485","   13967.397532","   13785.838172","   13337.022894","   12998.245036","   12108.068458","   13728.246455","  306388.764911"
"ORANGE","Residential","    7830.122428","    7360.151076","    7778.266791","    6981.257680","    6853.190877","    6822.791021","    6718.606580","    6907.047858","    7039.246647","    6839.710900","    7068.867388","    6694.089038","    6610.335912","    6916.409459","    7138.935234","    6868.428335","    6851.673513","    6717.512324","    6612.052543","    6374.691670","    5989.097849","    5575.807012","    6362.084768","  156910.376903"
"ORANGE","Total","   20243.721856","   19213.664417","   19691.159206","   19818.929702","   19993.458037","   20127.011546","   20234.197645","   20724.591766","   20732.058612","   20259.780308","   20372.569933","   19919.534292","   19764.011487","   20671.172650","   21531.681533","   21123.386110","   21322.147997","   20684.909856","   20397.890715","   19711.714564","   18987.342885","   17683.875470","   20090.331224","  463299.141811"
"PLACER","Non-Residential","    1458.116082","    1437.974192","    1393.799847","    1467.021155","    1498.225466","    1506.632275","    1539.292174","    1531.587951","    1546.273590","    1513.471112","    1525.913650","    1540.245121","    1548.311333","    1581.946788","    1657.030894","    1676.382855","    1499.888690","    1432.050456","    1496.078925","    1411.992669","    1381.298802","    1296.365383","    1376.448374","   34316.347784"
